 -A; AA
SQUARE BRACKET;BRACKET
CURLY BRACKET;BRACE
NO-BREAK;NOBREAK
NON-BREAKING;NOBREAK
TWO-EM DASH;twoemdash
THREE-EM DASH;threeemdash
NUMBER SIGN;hash
REVERSE SOLIDUS;BACKSLASH
SOLIDUS;SLASH
-THAN;
HYPHEN-MINUS;dash
PRECEDED BY;AFTER
COMMERCIAL AT;at
SOFT HYPHEN;sh
MULTIPLICATION;times
RETROFLEX HOOK;rhook
PALATAL HOOK;phook
PALATALIZED HOOK;phook
CANADIAN SYLLABICS;CANADIAN
KATAKANA-HIRAGANA;JAPANESE
ZERO WIDTH;ZEROWIDTH
NON-JOINER;NONJOINER
HEBREW LETTER;HEBREW
HEBREW LIGATURE;HEBREW
HEBREW PUNCTUATION;HEBREW
HEBREW POINT;HEBREW
#VARIATION SELECTOR;varsel
#CJK COMPATIBILITY IDEOGRAPH;cjk
ISOLATED FORM;ISOLATED
FINAL FORM;FINAL
ARABIC LETTER;ARABIC
CYPRIOT SYLLABLE;CYPRIOT
CLOCK FACE;
SMILING FACE;smile
ALCHEMICAL SYMBOL;alch
INPUT SYMBOL;insymb
TRIANGLE-HEADED;trhead
TWO-HEADED ARROW WITH TRIANGLE ARROWHEADS;dbltrheadarrow
TRIANGLE ARROWHEADS;trhead
EQUAL TO;equals
EQUIVALENT TO;equiv
NORTH EAST;NORTHEAST
NORTH WEST;NORTWEST
SOUTH EAST;SOUTHEAST
SOUTH WEST;SOUTHWEST
CIRCLED NUMBER;CIRCLED
DIAERESIS;DIERESIS
ORDINAL INDICATOR;ordinal
LONG LEG;lleg
PRECEDES;prec
SUCCEEDS;succ
CONTAINS AS;cont
CONTAIN AS;cont
CONTAINS;cont
DOES NOT;not
NOT A;not
#APL FUNCTIONAL SYMBOL;apl
FOR ALL;FORALL
#DENTISTRY SYMBOL LIGHT;DENTISTRY SYMBOL
#Z NOTATION;zet
ELEMENT OF;ELEMENT
IMAGE OF;IMAGE
SUBSET OF;SUBSET
SUPERSET OF;SUPERSET
INTERSECTION;intersect
-9 QUOTATION; ninequote
TEMPUS IMPERFECTUM CUM PROLATIONE IMPERFECTA DIMINUTION;ticpidim
TEMPUS PERFECTUM CUM PROLATIONE PERFECTA DIMINUTION;tpcpdim
TEMPUS IMPERFECTUM CUM PROLATIONE PERFECTA;ticpp
UIGHUR KIRGHIZ;uk
PERSONAL COMPUTER;pc
MONITOR;mon
IN PORTRAIT ORIENTATION;portrait
JUDEO-SPANISH;lad
MEETEI MAYEK;mni
TAI VIET;tavt
KAYAH LI;kali
SYLOTI NAGRI;sylo
HAND FIST;hfst
HAND CIRCLE;hcir
HAND CUP;hcup
HAND OVAL;hovl
HAND HINGE;hhng
HAND ANGLE;hang
HAND FLAT;hflt
HIP JOINTS;hips
HIP MOVE;hipmv
HIP POSITIONS;hippos
HIP SPINE;hipspn
CURVED BEND;crvbd
STRAIGHT STRETCH;strst
OPEN RECTANGLE;orect
TWO FINGERS;2fngrs
THREE FINGERS;3fngrs
FOUR FINGERS;4fngrs
FIVE FINGERS;5fngrs
