## Scripts
ABKHASIAN;Abk
ADLAM;Adl
ALEUT;Ale
AHOM;Ahm
ANATOLIAN HIEROGLYPH;Hlw
ARABIC;Ara
ARABIC-INDIC;Ari
ARMENIAN;Arm
AVESTAN;Avs
BALINESE;Bal
BAMUM;Bam
BASSA VAH;Bas
BATAK;Btk
BENGALI;Bng
BENGALI LETTER VEDIC;Bvd
BHAIKSUKI;Bks
BOPOMOFO;Bop
BRAHMI;Brh
BRAILLE;Brl
BUGINESE;Bug
BUHID;Buh
BYELORUSSIAN-UKRAINIAN;ByUk
CANADIAN SYLLABICS;Can
CARIAN;Car
CAUCASIAN ALBANIAN;Agh
CHAKMA;Cak
CHAM;Cha
CHEROKEE;Che
CHORASMIAN;Cho
COMMON;Com
COPTIC;Cop
CUNEIFORM;Cun
CYPRIOT;Cpr
CYPRO-MINOAN;Cpm
CYRILLIC;Crl
DESERET;Dsr
DEVANAGARI;Dev
DIVES AKURU;Div
DOGRA;Dog
DUPLOYAN;Dup
EGYPTIAN HIEROGLYPH;Egy
ELBASAN;Elb
ELYMAIC;Ely
ETHIOPIC;Eth
FARSI;Fas
GARAY;Gar
GEORGIAN;Grg
GLAGOLITIC;Glg
GOTHIC;Got
GRANTHA;Grn
GREEK;Grk
GUJARATI;Guj
GUNJALA GONDI;Gun
GURAGE;Gur
GURMUKHI;Grm
GURUNG KHEMA;Gkh
HAN;Han
HANGUL;Hng
HANIFI ROHINGYA;Rhg
HANUNOO;Hno
HATRAN;Htr
HEBREW;Heb
HENTAIGANA;Hnt
HIRAGANA;Hir
IMPERIAL ARAMAIC;Ari
INHERITED;Inh
INSCRIPTIONAL PAHLAVI;Phl
INSCRIPTIONAL PARTHIAN;Prt
JAPANESE;Jpn
JAVANESE;Jav
JUDEO SPANISH;Lad
KAITHI;Kth
KANGXI;Kng
KANNADA;Knd
KASHMIRI;Kas
KATAKANA;Kan
KATAKANA-HIRAGANA;Jpn
KAWI;Kaw
KAYAH LI;Kal
KHAROSHTHI;Khr
KHITAN SMALL SCRIPT;Kss
KHMER;Khm
KHOJKI;Kho
KHUDAWADI;Sin
KIRAT RAI;Kir
KOMI;Kom
KIRGHIZ;Krg
KOREAN;Kor
LAO;Lao
LATIN;Lat
LEPCHA;Lep
LIMBU;Lim
LINEAR A;Lna
LINEAR B;Lnb
LISU;Lis
LYCIAN;Lyc
LYDIAN;Lyd
MAHAJANI;Mah
MAKASAR;Mak
MALAYALAM;Mlm
MALAYALAM VEDIC;Mvd
MANDAIC;Mnd
MANICHAEAN;Man
MARCHEN;Mrc
MASARAM GONDI;Gon
MEDEFAIDRIN;Mdf
MEETEI MAYEK;Mti
MENDE KIKAKUI;Men
MEROITIC CURSIVE;Mrc
MEROITIC HIEROGLYPHIC;Mrh
MIAO;Plr
MODI;Mod
MONGOLIAN;Mon
MRO;Mro
MULTANI;Mul
MYANMAR;Mmr
NABATAEAN;Nbt
NAG MUNDARI;Nag
NANDINAGARI;Nnd
NEW TAI LUE;Tal
NEWA;Nwa
NKO;Nko
NORTH INDIC;Ind
NUSHU;Nsh
NYIAKENG PUACHUE HMONG;Hmn
