## Arrows
ARROW;Arr
ARROWHEAD;Arh
ARROWHEAD-SHAPED;ArhShp
BARB;Brb
DOWNWARDS ARROW;DArr
HARPOON;Hrp
LEFTWARDS ARROW;LArr
MEDIUM BARB;mb
RIBBON ARROW;Rar
RIGHTWARDS ARROW;RArr
TRIANGLE-HEADED;THd
UPWARDS ARROW;UArr
WIDE-HEADED;WHd
## BiDi
LEFT-TO-RIGHT;Ltr
RIGHT-TO-LEFT;Rtl
## Blocks
BLOCK;Blc
BLOCK DIAGONAL;BlcDgn
BLOCK OCTANT;BlcOct
BLOCK SEXTANT;BlcSxt
FIVE EIGHTHS BLOCK;BlcPrt58
HORIZONTAL WITH VERTICAL STROKE;Cross
LEFT HALF INVERSE MEDIUM SHADE AND RIGHT HALF BLOCK;BlcRShdL
MEDIUM SHADE;BlcShd
ONE EIGHTH BLOCK;BlcPrt18
ONE QUARTER BLOCK;BlcPrt14
SEPARATED BLOCK QUADRANT;SbQuad
SEPARATED BLOCK SEXTANT;SbSext
SEVEN EIGHTHS BLOCK;BlcPrt78
THREE EIGHTHS BLOCK;BlcPrt38
THREE QUARTERS BLOCK;BlcPrt34
TRIANGULAR;Trng
TRIANGULAR HALF BLOCK;BlcTrng12
TRIANGULAR ONE QUARTER BLOCK;BlcTrng14
TRIANGULAR THREE QUARTERS BLOCK;BlcTrng34
UPPER HALF BLOCK AND LOWER HALF INVERSE MEDIUM SHADE;BlcTShdB
UPPER HALF INVERSE MEDIUM SHADE AND LOWER HALF BLOCK;BlcBShdT
FILL;Fil
## BodyLanguage
BLOWING;Blow
CHEEK;Chk
COLD SWEAT;Csw
CUPPED;Cup
CURVED BEND;Crvbd
EXCITEMENT;Exct
FIVE FINGERS;5Fngrs
FLOORPLANE;Flpl
FOUR FINGERS;4Fngrs
HIP JOINTS;Hips
HIP MOVE;Hipmv
HIP POSITIONS;Hippos
HIP SPINE;Hipspn
INDEX;Idx
KNUCKLE;Knuck
KNUCKLES;Knuckl
MOUTH;Mth
OPEN MOUTH;Omth
SHOULDER;Shldr
STICKING;Stk
SUCKED;Suck
SUCKING;Suck
TEARS OF JOY;Tj
TEETH;Tth
THREE FINGERS;Fngrs3
TIGHTLY-CLOSED EYES;Tce
TONGUE;Tng
TORSO;Trs
TOUCHING;Touch
TWISTING;Twist
TWO FINGERS;Fngrs2
## Box DRAWINGS
BOX DRAWINGS;BoxDrw
## Break/Join
CONJOINED;Conj
CONJOINING;Conj
JOINER;Jn
NO BREAK;Nb
NOBREAK;Nb
NON BREAKING;Nb
NON JOINER;Nj
NONBREAKING;Nb
NONJOINER;Njn
## Chess
BLACK CHESS;ChsB
CHESS;Chs
LARGE CHESS;ChsL
NEUTRAL CHESS;ChsN
WHITE CHESS;ChsW
## Colors
BLACK;Bl
WHITE;Wh
## Currency
CENT;Cent
CURRENCY;Curr
DOLLAR;Dollar
DRACHMA;Drch
POUND;Pound
YEN;Yen
## Dashes
DASH;Dash
DOUBLE DASH;2Dsh
QUADRUPLE DASH;4Dsh
THREE EM DASH;Emdash3
TRIPLE DASH;3Dsh
TWO EM DASH;Emdash2
## Diactrics
ACCENT;Acc
