#Phrase;Abbrev;Tag
ABBREVIATION;abbr;
ACCENT;;del
ACUTE;acute;
AFRICAN;afr;adj
AMPERSAND;amp;
AND;;del
ANGLE;angle;
APOSTROPHE;apos;
APPLICATION;app;
ARCHAIC;;del
ARROWHEAD;ahead;
ASTERISK;ast;
AT;at;
BACKSLASH;bslash;
BAR;bar;
BRACE;brace;
BRACKET;bracket;
BREVE;breve;
BROKEN BAR;bbar;
BULLET;bullet;
CAPITAL LETTER;UC;<UC>
CARET;caret;
CARON;caron;
CEDILLA;cedilla;
CENT;cent;
CENTRED;cnt;
CHARACTER;;del
CIRCLE;circle;
CIRCUMFLEX;cflex;
CLOSE;close;
COLON;colon;
COMMA;comma;
COMMERCIAL AT;at;
CONSONANT;;del
COPYRIGHT;copyright;
CURLY;curly;
CURLY BRACKET;brace;
CURRENCY SIGN;currency;
DASH;dash;
DEGREE;degree;
DESCENDER;desc;
DIAERESIS;umlaut;
DIGIT;;del
DIGRAPH;;del
DIVISION SIGN;div;
DOLLAR;dollar;
DOT;dot;
DOT ABOVE;dotAbove;
DOT BELOW;dotBelow;
DOTLESS;dotless;adj
DOTTED;dot;adj
DOUBLE;dbl;
DOUBLE ACUTE;hungarUmlaut;
DOUBLE ANGLE QUOTATION MARK;guillemet;
EIGHT;8;num
EIGHT HUNDRED;800;num
EIGHT THOUSAND;8000;num
EIGHTEEN;18;num
EIGHTY;80;num
EIGHTY THOUSAND;80000;num
ELEVEN;11;num
ELLIPSIS;ellipsis;
EM;em;
EN;en;
EQUALS;eq;
EXCLAMATION;exclam;
FEMININE;fem;
FEMININE ORDINAL INDICATOR;\sup{a};
FIFTEEN;15;num
FIFTY;50;num
FIFTY THOUSAND;50000;num
FIGURE;fig;
FIVE;5;num
FIVE HUNDRED;500;num
FIVE THOUSAND;5000;num
FOOTNOTE;ftn;
FOR;;del
FORM;;del
FORTY;40;num
FORTY FIVE;45;num
FORTY THOUSAND;40000;num
FOUR;4;num
FOUR HUNDRED;400;num
FOUR THOUSAND;4000;num
FOURTEEN;14;num
FRACTION;frac;
FROM;from;del
FULL;F;
FULL STOP;dot;
FUNCTION;funct;
GLOTTAL;glot;
GRAVE;grave;
GREATER-THAN;gt;
HAIR;hair;
HASH;hash;
HOOK;hook;
HORIZONTAL;H;
HYPHEN;hyphen;
HYPHEN-MINUS;dash;
IDEOGRAM;ideo;del
IDEOGRAPH;ideo;del
IDEOGRAPHIC;ideo;
INDICATOR;ind;del
INVERTED;inv;adj
INVISIBLE;NV;adj
JOINER;JN;
LEFT;L;
LEFT-POINTING;L;
LESS-THAN;lt;
LETTER;let;del
LIGATURE;lig;<LG>
LINE;line;
LOGICAL;log;del
LOGICAL AND;and;
LOGICAL NOT;not;
LOGICAL OR;or;
LONG;long;
LONG S;sl;
LOW;low;
LOW LINE;underscore;
MACRON;macron;
MARK;mark;del
MARKER;mark;del
MASCULINE;masc;
MASCULINE ORDINAL INDICATOR;\sup{o};
MATHEMATICAL;math;
MEDIUM;med;
MICRO;micro;
MIDDLE;mid;
MINUS;minus;
MODIFIED;mod;
MONOGRAM;mgram;del
MTAVRULI;mtav;del
MULTIPLICATION SIGN;times;
NARROW;narrow;
NINE;9;num
NINE HUNDRED;900;num
NINE THOUSAND;9000;num
NINETEEN;19;num
NINETY;90;num
NINETY THOUSAND;90000;num
NOBREAK;nb;
NONBREAKING;nb;
NONJOINER;njn;
NOT;not;
NUMBER;num;del
