ABBREVIATION;abbr
ACCENT;<null>
ACUTE;acute
AMPERSAND;amp
AND;<null>
ANGLE;angle
APOSTROPHE;apos
APPLICATION;app
ARCHAIC;<null>
ARROWHEAD;ahead
ASTERISK;ast
AT;at
BACKSLASH;bslash
BAR;bar
BRACE;brace
BRACKET;bracket
BREVE;breve
BULLET;bullet
CAPITAL LETTER;<UC>
CARET;caret
CARON;caron
CEDILLA;cedilla
CENT;cent
CENTRED;cnt
CHARACTER;<null>
CIRCLE;circle
CIRCUMFLEX;cflex
CLOSE;close
COLON;colon
COMMA;comma
COMMERCIAL AT;at
CONSONANT;<null>
COPYRIGHT;copyright
CURLY;curly
CURLY BRACKET;brace
CURRENCY SIGN;currency
DASH;dash
DEGREE;degree
DESCENDER;desc
DIAERESIS;dieresis
DIGIT;<null>
DIGRAPH;<null>
DIVISION SIGN;div
DOLLAR;dollar
DOT;dot
DOT ABOVE;DotAbove
DOTLESS;<ND>
DOTTED;dot
DOUBLE;dbl
DOUBLE ACUTE;hungarumlaut
EIGHT;8
EIGHT HUNDRED;800
EIGHT THOUSAND;8000
EIGHTEEN;18
EIGHTY;80
EIGHTY THOUSAND;80000
ELEVEN;11
ELLIPSIS;ellipsis
EM;em
EN;en
EQUALS;eq
EXCLAMATION;exclam
FEMININE;fem
FIFTEEN;15
FIFTY;50
FIFTY THOUSAND;50000
FIGURE;fig
FIVE;5
FIVE HUNDRED;500
FIVE THOUSAND;5000
FOOTNOTE;ftn
FOR;<null>
FORM;<null>
FORTY;40
FORTY FIVE;45
FORTY THOUSAND;40000
FOUR;4
FOUR HUNDRED;400
FOUR THOUSAND;4000
FOURTEEN;14
FRACTION;frac
FROM;<null>
FULL;f
FULL STOP;dot
FUNCTION;funct
GLOTTAL;glot
GRAVE;grave
GREATER-THAN;gt
HAIR;hair
HASH;hash
HOOK;hook
HORIZONTAL;horz
HYPHEN;hyphen
HYPHEN-MINUS;dash
IDEOGRAM;<null>
IDEOGRAPH;<null>
IDEOGRAPHIC;id
INDICATOR;<null>
INVERTED;inv
INVISIBLE;nv
JOINER;jn
LEFT;l
LESS-THAN;lt
LETTER;<null>
LIGATURE;<null>
LINE;line
LOGICAL;<null>
LOGICAL AND;and
LOGICAL NOT;not
LOGICAL OR;or
LONG;long
LONG S;sl
LOW;low
MACRON;macron
MARK;<null>
MARKER;<null>
MASCULINE;masc
MATHEMATICAL;math
MEDIUM;med
MICRO;micro
MIDDLE;mid
MINUS;minus
MODIFIED;mod
MONOGRAM;<null>
MTAVRULI;<null>
MULTIPLICATION SIGN;times
NARROW;narrow
NINE;9
NINE HUNDRED;900
NINE THOUSAND;9000
NINETEEN;19
NINETY;90
NINETY THOUSAND;90000
NOBREAK;nb
NONBREAKING;nb
NONJOINER;njn
NOT;not
NUMBER;<null>
NUMBER SIGN;hash
OBLIQUE;obl
OGONEK;ogonek
ONE;1
ONE HUNDRED;100
ONE HUNDRED EIGHTY;180
ONE HUNDRED THIRTY FIVE;135
ONE HUNDRED THOUSAND;100000
ONE HUNDRED TWENTY;120
ONE THOUSAND;1000
OPEN;open
ORDINAL;ord
PARAGRAPH;para
PARENTHESIS;paren
PERCENT;percent
PILCROW;pilcrow
PLUS;plus
POINTING;pt
POUND;pound
PRIVATE;priv
PUNCTUATION;punct
PUNCTUATION;<null>
QUADRUPLE;quad
QUESTION;quest
QUINTUPLE;quint
QUOTATION;quotation
QUOTE;quote
REGISTERED;registered
REVERSED;rev
RIGHT;r
RING;ring
RING ABOVE;RingAbove
RING BELOW;RingBelow
ROUND;round
SECTION;sect
SEMICOLON;scolon
SEPARATOR;sep
SEVEN;7
SEVEN HUNDRED;700
SEVEN THOUSAND;7000
SEVENTEEN;17
SEVENTY;70
SEVENTY THOUSAND;70000
SHARP S;ss
SHORT;short
SIGN;<null>
SIX;6
SIX HUNDRED;600
SIX THOUSAND;6000
SIXTEEN;16
SIXTY;60
SIXTY THOUSAND;60000
SLASH;slash
SMALL LETTER;<LC>
SOLIDUS;slash
SOUND;<null>
SPACE;sp
SQUARE;sq
SQUARE BRACKET;bracket
STAR;star
STROKE;stroke
SUBSCRIPT;sub
SUPERSCRIPT;sup
SURROGATE;sur
SYLLABLE;<null>
SYMBOL;<null>
TEN;10
TEN THOUSAND;10000
THAN;<null>
THE;<null>
THIN;thin
THIRTEEN;13
THIRTY;30
THIRTY THOUSAND;30000
THREE;3
THREE HUNDRED;300
THREE HUNDRED FIFTEEN;315
THREE THOUSAND;3000
TILDE;tilde
TO;<null>
TONE;<TN>
TOPBAR;TopBar
TRIPLE;tple
TURNED;turn
TWELVE;12
TWENTY;20
TWENTY THOUSAND;20000
TWO;2
TWO HUNDRED;200
TWO HUNDRED SEVENTY;270
TWO HUNDRED TWENTY FIVE;225
TWO THOUSAND;2000
UNDERSCORE;uscore
VERTICAL;v
VERTICALLY;vert
VOWEL;<null>
WAVE;wave
WITH;<null>
WORD;<null>
YEN;yen
ZERO;0
ZEROWIDTH;zw
LEFT-POINTING DOUBLE ANGLE QUOTATION MARK;LGuillemet
RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK;RGuillemet
