ZERO;0
ONE;1
TWO;2
THREE;3
FOUR;4
FIVE;5
SIX;6
SEVEN;7
EIGHT;8
NINE;9
TEN;10
ELEVEN;11
TWELVE;12
THIRTEEN;13
FOURTEEN;14
FIFTEEN;15
SIXTEEN;16
SEVENTEEN;17
EIGHTEEN;18
NINETEEN;19
TWENTY;20
THIRTY;30
FORTY;40
FORTY FIVE;45
FIFTY;50
SIXTY;60
SEVENTY;70
EIGHTY;80
NINETY;90
ONE HUNDRED;100
ONE HUNDRED TWENTY;120
ONE HUNDRED THIRTY FIVE;135
ONE HUNDRED EIGHTY;180
TWO HUNDRED;200
TWO HUNDRED TWENTY FIVE;225
TWO HUNDRED SEVENTY;270
THREE HUNDRED;300
THREE HUNDRED FIFTEEN;315
FOUR HUNDRED;400
FIVE HUNDRED;500
SIX HUNDRED;600
SEVEN HUNDRED;700
EIGHT HUNDRED;800
NINE HUNDRED;900
ONE THOUSAND;1000
TWO THOUSAND;2000
THREE THOUSAND;3000
FOUR THOUSAND;4000
FIVE THOUSAND;5000
SIX THOUSAND;6000
SEVEN THOUSAND;7000
EIGHT THOUSAND;8000
NINE THOUSAND;9000
TEN THOUSAND;10000
TWENTY THOUSAND;20000
THIRTY THOUSAND;30000
FORTY THOUSAND;40000
FIFTY THOUSAND;50000
SIXTY THOUSAND;60000
SEVENTY THOUSAND;70000
EIGHTY THOUSAND;80000
NINETY THOUSAND;90000
ONE HUNDRED THOUSAND;100000
