Phrase	Count
12546	1
15	1
16	1
A	9550
-A	16
A001	1
A002	1
A003	1
A004	1
A005	1
A005A	1
A006	1
A006A	1
A006B	1
A007	1
A008	1
A009	1
A010	1
A010A	1
A011	1
A012	1
A013	1
A014	1
A014A	1
A015	1
A016	1
A017	1
A017A	1
A018	1
A019	1
A020	1
A021	1
A022	1
A023	1
A024	1
A025	1
A026	1
A026A	1
A027	1
A028	1
A028B	1
A029	1
A030	1
A031	1
A032	1
A032A	1
A033	1
A034	1
A035	1
A036	1
A037	1
A038	1
A039	1
A039A	1
A040	1
A040A	1
A041	1
A041A	1
A042	1
A042A	1
A043	1
A043A	1
A044	1
A045	1
A045A	1
A046	1
A046A	1
A046B	1
A047	1
A048	1
A049	1
A050	1
A051	1
A052	1
A053	1
A054	1
A055	1
A056	1
A057	1
A058	1
A059	1
A060	1
A061	1
A062	1
A063	1
A064	1
A065	1
A066	1
A066A	1
A066B	1
A066C	1
A067	1
A068	1
A069	1
A070	1
A071	1
A072	1
A073	1
A074	1
A075	1
A076	1
A077	1
A078	1
A079	1
A080	1
A081	1
A082	1
A083	1
A084	1
A085	1
A086	1
A087	1
A088	1
A089	1
A090	1
A091	1
A092	1
A093	1
A094	1
A095	1
A096	1
A097	1
A097A	1
A098	1
A098A	1
A099	1
A-1	1
A100	1
A100-102	1
A100A	1
A101	1
A101A	1
A102	1
A102A	1
A103	1
A104	1
A104A	1
A104B	1
A104C	1
A105	1
A105A	1
A105B	1
A106	1
A107	1
A107A	1
A107B	1
A107C	1
A108	1
A109	1
A110	1
A110A	1
A110B	1
A111	1
A112	1
A113	1
A114	1
A115	1
A115A	1
A116	1
A117	1
A118	1
A119	1
A120	1
A120B	1
A121	1
A122	1
A123	1
A124	1
A125	1
A125A	1
A126	1
A127	1
A128	1
A129	1
A130	1
A131	1
A131C	1
A132	1
A133	1
A134	1
A135	1
A135A	1
A136	1
A137	1
A138	1
A139	1
A140	1
A141	1
A142	1
A143	1
A144	1
A145	1
A146	1
A147	1
A148	1
A149	1
A150	1
A151	1
A152	1
A153	1
A154	1
A155	1
A156	1
A157	1
A158	1
A159	1
A160	1
A161	1
A162	1
A163	1
A164	1
A165	1
A166	1
A167	1
A168	1
A169	1
A170	1
A171	1
A172	1
A173	1
A174	1
A175	1
A176	1
A177	1
A178	1
A179	1
A180	1
A181	1
A182	1
A183	1
A184	1
A185	1
A186	1
A187	1
A188	1
A189	1
A190	1
A191	1
A192	1
A193	1
A194	1
A195	1
A196	1
A197	1
A198	1
A199	1
A2	1
A-2	1
A200	1
A201	1
A202	1
A202A	1
A202B	1
A203	1
A204	1
A205	1
A206	1
A207	1
A207A	1
A208	1
A209	1
A209A	1
A210	1
A211	1
A212	1
A213	1
A214	1
A215	1
A215A	1
A216	1
A216A	1
A217	1
A218	1
A219	1
A220	1
A221	1
A222	1
A223	1
A224	1
A225	1
A226	1
A227	1
A227A	1
A228	1
A229	1
A230	1
A231	1
A232	1
A233	1
A234	1
A235	1
A236	1
A237	1
A238	1
A239	1
A240	1
A241	1
A242	1
A243	1
A244	1
A245	1
A246	1
A247	1
A248	1
A249	1
A250	1
A251	1
A252	1
A253	1
A254	1
A255	1
A256	1
A257	1
A258	1
A259	1
A260	1
A261	1
A262	1
A263	1
A264	1
A265	1
A266	1
A267	1
A267A	1
A268	1
A269	1
A270	1
A271	1
A272	1
A273	1
A274	1
A275	1
A276	1
A277	1
A278	1
A279	1
A280	1
A281	1
A282	1
A283	1
A284	1
A285	1
A286	1
A287	1
A288	1
A289	1
A289A	1
A290	1
A291	1
A292	1
A293	1
A294	1
A294A	1
A295	1
A296	1
A297	1
A298	1
A299	1
A299A	1
A3	1
A-3	1
A300	1
A301	1
A302	1
A303	1
A304	1
A305	1
A306	1
A307	1
A308	1
A309	1
A309A	1
A309B	1
A309C	1
A310	1
A311	1
A312	1
A313	1
A313A	1
A313B	1
A313C	1
A314	1
A315	1
A316	1
A317	1
A318	1
A319	1
A320	1
A321	1
A322	1
A323	1
A324	1
