Export
## Scripts
ABKHASIAN;Abk
ADLAM;Adlm
AHOM;Ahom
ALEUT;Ale
ANATOLIAN HIEROGLYPH;Hluw
ARABIC;Arab
ARABIC-INDIC;Arai
ARMENIAN;Armn
AVESTAN;Avst
BALINESE;Bali
BAMUM;Bamu
BASHKIR;Bak
BASSA VAH;Bass
BATAK;Batk
PAKPAK;Btd
KARO;Btx
MANDAILING;Btm
SIMALUNGUN;Bts
BENGALI;Beng
BENGALI LETTER VEDIC;Bved
BHAIKSUKI;Bhks
BOPOMOFO;Bopo
BRAHMI;Brah
BUGINESE;Bugi
BUHID;Buhd
BYELORUSSIAN-UKRAINIAN;Byuk
CANADIAN SYLLABICS;Cans
CARIAN;Cari
CAUCASIAN ALBANIAN;Aghb
CHAKMA;Cakm
CHAM;Cham
CHEROKEE;Cher
CHORASMIAN;Chrs
COMMON;Zyyy
COPTIC;Copt
CUNEIFORM;Xsux
CYPRIOT;Cprt
CYPRO-MINOAN;Cpmn
CYRILLIC;Cyrl
DESERET;Dsrt
DEVANAGARI;Deva
DIVES AKURU;Diak
DOGRA;Dogr
DUPLOYAN;Dupl
EASTERN PWA KAREN;Kjp
EGYPTIAN HIEROGLYPH;Egyp
ELBASAN;Elba
ELYMAIC;Elym
ETHIOPIC;Ethi
FARSI;Fas
GARAY;Gara
GEORGIAN;Geor
GLAGOLITIC;Glag
GOTHIC;Goth
GRANTHA;Gran
GREEK;Grek
GUJARATI;Gujr
GUNJALA GONDI;Gong
GURAGE;Gura
GURMUKHI;Guru
GURUNG KHEMA;Gukh
HAN;Hani
SIMPLIFIED;Hans
TRADITIONAL;Hant
HANGUL;Hang
HANIFI ROHINGYA;Rohg
HANUNOO;Hano
HATRAN;Hatr
HEBREW;Hebr
HENTAIGANA;Hent
HIRAGANA;Hira
IMPERIAL ARAMAIC;Armi
INHERITED;Zinh
INSCRIPTIONAL PAHLAVI;Phli
INSCRIPTIONAL PARTHIAN;Prti
JAPANESE;Jpan
KATAKANA-HIRAGANA;Jap
JAVANESE;Java
KAITHI;Kthi
KANGXI;Kang
KANNADA;Knda
KASHMIRI;Kas
KASHMIRI;Kas
KATAKANA;Kana
KAWI;Kawi
KAYAH LI;Kali
KAZAKH;Kaz
KHAKASSIAN ;Kjh
KHAMTI;Kht
KHAROSHTHI;Khar
KHITAN SMALL SCRIPT;Kits
KHMER;Khmr
KHMU;Kjg
KHO;Khw
KHOJKI;Khoj
KHUDAWADI;Sind
KIRAT RAI;Krai
KIRGHIZ;Kir
KOMI;Kom
KOREAN;Kore
KIRGHIZ;Kyrg
JUDEO SPANISH;Lad
LAO;Lao
LATIN;Latn
LEPCHA;Lepc
LIMBU;Limb
LINEAR A;Lina
LINEAR B;Linb
LISU;Lisu
LYCIAN;Lyci
LYDIAN;Lydi
MAHAJANI;Mahj
MAKASAR;Maka
MALAYALAM;Mlym
MALAYALAM VEDIC;Mved
MANCHU;Mnc
MANDAIC;Mand
MANICHAEAN;Mani
MARCHEN;Marc
MARWARI;Mwr
MASARAM GONDI;Gonm
MEDEFAIDRIN;Medf
MEETEI MAYEK;Mtei
MENDE KIKAKUI;Mend
MEROITIC CURSIVE;Merc
MEROITIC HIEROGLYPHIC;Mero
MIAO;Plrd
MODI;Modi
MON;Mon
MONGOLIAN;Mong
ALI GALI;Mgali
TODO;Mtodo
MRO;Mro
MULTANI;Mult
