Export
## Arab
ALAYHE;Alayh
ALAYHE ASSALLAM;AlayAss
ALEF WITH LAM WITH YEH;AlLamYe
ALLAHOU;Allah
ASSALLAM;Assal
BARREKH;Barre
DALATH;Dalat
DAMMATAN;Damt
DDAHAL;Ddaha
DHALATH;Dhala
DOACHASHMEE;Doach
EMPTY CENTRE HIGH STOP;EmptStopAbw
EMPTY CENTRE LOW STOP;EmptStopBlw
FATHATAN;Fatht
FILLED CENTRE;Abv
GARSHUNI;Garsh
GHAMAL;Ghama
GHUNNA;Ghunn
HARKLEAN;Harkl
HBASA-ESASA;HbEs
KASRATAN;Kasrt
LAMADH;Lamad
MADDAH;Madda
MAKSURA;Maks
MARBUTA;Marbuta
PTHAHA;Pthah
QUSHSHAYA;Qush
RADI ALLAHOU ANHU;RadiAlAn
RAHMATULLAH;Rahm
RAHMATULLAH ALAYHE;RahmAl
ROUNDED HIGH STOP;RndFilStop
RUKKAKHA;Rukka
SAJDAH;Sajda
SALLALLAHOU;Sall
SALLALLAHOU ALAYHE WASSALLAM;SalAlWas
SEMKATH;Semk
SHADDA;Shadd
TATWEEL;Tatwe
TCHEHEH;Tcheh
TTEHEH;Ttehe
WASLA;Wasla
WASSALLAM;Wassa
ZQAPHA;Zqaph
ZWARAKAY;Zwara
## Arrows
ARROW;Arrow
ARROWHEAD;Arrowhd
ARROWHEADS;Arrowhd
ARROWHEAD-SHAPED;ArrowhdShp
BARB;Barb
EQUILATERAL;Eqlat
HARPOON;Harp
LEFT ARROWHEAD;LArrowhd
LEFTWARDS ARROW;LArrow
MEDIUM BARB;MedBarb
POINTING DIRECTLY;PtDir
RIBBON;Rbn
TRIANGLE-HEADED;Trnglhd
TWO-HEADED;2hd
UP ARROWHEAD;UpArrowhd
WIDE-HEADED;Widehd
## Balinese
ALPAPRANA;Alpaprana
GORA;Gora
JERA;Jera
KAPAL;Kapal
KEMBANG;Kembang
LACA;Laca
LATIK;Latik
LENGA;Lenga
MADU;Madu
MAHAPRANA;Mahaprana
MURDA;Murda
RAMBAT;Rambat
REPA;Repa
SAGA;Saga
SAPA;Sapa
SASAK;Sasak
TAWA;Tawa
TEDUNG;Tedung
## Bamum
PHASE-A;PhA
PHASE-B;PhB
PHASE-C;PhC
PHASE-D;PhD
PHASE-E;PhE
PHASE-F;PhF
PHASE-G;PhG
## BiDi
LEFT-TO-RIGHT;LTR
RIGHT-TO-LEFT;RTL
## Blocks
BLOCK;Block
BLOCK DIAGONAL;BlcDgn
BLOCK OCTANT;BlcOct
BLOCK SEXTANT;BlcSxt
FILL;Fill
HORIZONTAL WITH VERTICAL STROKE;Cross
LEFT HALF INVERSE MEDIUM SHADE AND RIGHT HALF BLOCK;BlcRShdL
SEPARATED BLOCK QUADRANT;SbQuad
SEPARATED BLOCK SEXTANT;SbSext
SHADE;Block\Shade
TRIANGULAR;Trng
UPPER HALF BLOCK AND LOWER HALF INVERSE MEDIUM SHADE;BlcTShdB
UPPER HALF INVERSE MEDIUM SHADE AND LOWER HALF BLOCK;BlcBShdT
## Break/Join
CONJOINED;Conj
CONJOINING;Conj
JOINER;Jn
NO BREAK;Nb
NOBREAK;Nb
NON BREAKING;Nb
NON JOINER;Nj
NONBREAKING;Nb
NONJOINER;Njn
## Chess
BLACK CHESS;ChessBl
LARGE CHESS;ChessLarge
NEUTRAL CHESS;ChessNt
WHITE CHESS;ChessWh
## Colors
BLACK;Bl
WHITE;Wh
## Currency
CENT;Cent
CURRENCY;Curr
DOLLAR;Dollar
DRACHMA;Drch
POUND;Pound
YEN;Yen
## Dashes
DASH;Dash
DOUBLE DASH;2Dsh
QUADRUPLE DASH;4Dsh
THREE EM DASH;Emdash3
TRIPLE DASH;3Dsh
