ABBREVIATION;abbr
ACCENT;accent
ACUTE;acute
ACTUALLY;act
AMPERSAND;amp
ANGLE;angle
ANTICLOCKWISE;acw
APOSTROPHE;apos
APPLICATION;app
APPROACHES;appr
APPROXIMATELY;aprox
ARROWHEAD;ahead
ASTERISK;ast
ASYMPTOTICALLY;asymp
AT;at
BACKSLASH;bslash
BAR;bar
BLACK;bl
BOTTOM;bot
BRACE;brace
BRACKET;bracket
BREVE;breve
BULLET;bullet
BYELORUSSIAN;bel
CARET;caret
CARON;caron
CARRIER;carr
CEDILLA;cedilla
CENTRED;cnt
CIRCLE;circle
CIRCLED;circ
CIRCUMFLEX;cflex
CLOCKWISE;cw
CLOSE;cl
CLOSED;cls
COLON;colon
CONTOUR;cont
COMMA;comma
CONJOINING;conj
COPYRIGHT;cpright
CROSSED;cross
CURLY;curly
DASH;dash
DECIMAL;dec
DENTISTRY;dent
DESCENDER;desc
DESCENDING;desc
DIAERESIS;die
DIAGONAL;diag
DIFFERENCE;dif
DIMENSION;dim
DIVISION;div
DOLLAR;dollar
DOT;dot
DOTTED;dot
DOUBLE;dbl
DOWNWARDS;dn
EDITORIAL;ed
EGYPTOLOGICAL,egypt
ELECTRIC;electr
ELECTRICAL;electr
ELLIPSIS;elpsis
EM;em
EN;en
EQUALS;eq
EXCLAMATION;excl
EXPONENT;exp
EXTENDED;ext
EXTENSION;ext
EXTRA;xtra
FACTOR;fact
FEMININE;fem
FIGURE;fig
FINAL;fin
FISHHOOK;fhook
FOOTNOTE;ftn
FRACTION;frac
FRICATIVE;fric
FULL;f
FUNCTION;func
GEOMETRIC;geom
GEOMETRICALLY;geom
GLOTTAL;glot
GRAVE;grave
GREATER;gt
GREEK;gr
HAIR;hair
HASH;hash
HEBREW;heb
HORIZONTAL;h
HYPHEN;hyphen
IDEOGRAPHIC;id
INDICATOR;ind
INPUT;in
INTERPOLATION;interp
INTERSECTION;intsect
INVERTED;inv
INVISIBLE;nv
IOTIFIED;iot
ISOLATED;isol
JOINER;jn
LATIN;lat
LEFT;l
LEFTWARDS;lt
LESS;lt
LETTER;letter
LIGATURE;ligature
LONG;long
LOW;low
LOWER;low
MACRON;macron
MARK;mark
MARKER;mark
MASCULINE;masc
MATHEMATICAL;mat
MEDIUM;med
METRICAL;metr
MIDDLE;mid
MINUS;minus
MODIFIED;mod
MODIFIER;mod
NARROW;nar
NASALIZATION;nasal
NEGATED;neg
NEITHER;not
NOBREAK;nb
NONBREAKING;nb
NONJOINER;njn
NORMAL;norm
NOT;not
NUMBER;num
OBLIQUE;obl
OGONEK;ogonek
OMISSION;omis
OPEN;op
OPENED;opn
OPERATOR;op
ORDINAL;ord
ORIGIN;orig
ORIGINAL;orig
OVERLAY;ovl
PAMPHYLIAN;pamp
PARAGRAPH;para
PARENTHESIS;paren
PERCENT;percent
PHARYNGEAL;phar
PLUS;plus
POINTING;pt
PRECEDE;prec
PRIVATE;priv
PROPORTION;prop
PUNCTUATION;punct
QUADRUPLE;quad
QUESTION;quest
QUINTUPLE;quint
QUOTATION;quote
QUOTE;quote
RECTANGULAR;rect
REGISTERED;regrd
REVERSE;rev
REVERSED;rev
RIGHT;r
RIGHTWARDS;rt
RING;ring
ROTATED;rot
ROUND;rnd
SECTION;sect
SEMICOLON;scolon
SEPARATOR;sep
SHORT;short
SIGN;sign
SINGLE;sgl
SLASH;slash
SMALL;sm
SPACE;sp
SQUARE;sq
STAR;star
STEM;st
STROKE;stroke
SUBSCRIPT;sub
SUBSTITUTION;subst
SUCCEED;succ
SUPERSCRIPT;sup
SURFACE;surf
SURROGATE;sur
THIN;thin
TILDE;tilde
TRANSPOSITION;trans
TRIPLE;tple
TURNED;turn
UKRAINIAN;ukr
UNDERSCORE;uline
UPPER;up
UPWARDS;up
VERTICAL;v
VERTICALLY;vert
VOLUME;vol
WAVE;wave
WHITE;wh
ZEROWIDTH;zw
NORTHEAST;ne
NORTHWEST;nw
SOUTHEAST;se
SOUTHWEST;sw
