ABBREVIATION;abbr
ACCENT;acc
ACUTE;acute
AMPERSAND;amp
ANGLE;angle
APOSTROPHE;apos
APPLICATION;app
ARROWHEAD;ahead
ASTERISK;ast
AT;at
BACKSLASH;bslash
BAR;bar
BRACE;brace
BRACKET;bracket
BREVE;breve
BULLET;bullet
CARET;caret
CARON;caron
CEDILLA;cedilla
CENTRED;cnt
CIRCLE;circle
CIRCUMFLEX;cflex
CLOSE;close
COLON;colon
COMMA;comma
COPYRIGHT;cpright
CURLY;curly
DASH;dash
DESCENDER;desc
DIAERESIS;die
DOLLAR;dollar
DOT;dot
DOTTED;dot
DOUBLE;dbl
ELLIPSIS;ellipsis
EM;em
EN;en
EQUALS;eq
EXCLAMATION;excl
FEMININE;fem
FIGURE;fig
FOOTNOTE;ftn
FRACTION;frac
FULL;f
FUNCTION;funct
GLOTTAL;glot
GREATER;gt
GRAVE;grave
HAIR;hair
HASH;hash
HORIZONTAL;horz
HYPHEN;hyphen
IDEOGRAPHIC;id
INDICATOR;ind
INVERTED;inv
INVISIBLE;nv
JOINER;jn
LEFT;l
LESS;lt
LETTER;letter
LIGATURE;lig
LONG;long
LOW;low
MACRON;macron
MARK;mark
MARKER;mark
MASCULINE;masc
MATHEMATICAL;mat
MEDIUM;med
MIDDLE;mid
MINUS;minus
MODIFIED;mod
NARROW;nar
NOBREAK;nb
NONBREAKING;nb
NONJOINER;njn
NOT;not
NUMBER;num
OBLIQUE;obl
OGONEK;ogonek
OPEN;open
ORDINAL;ord
PARAGRAPH;para
PARENTHESIS;paren
PERCENT;percent
PLUS;plus
POINTING;pt
PRIVATE;priv
PUNCTUATION;punct
QUADRUPLE;quad
QUESTION;quest
QUINTUPLE;quint
QUOTATION;quote
QUOTE;quote
REGISTERED;regrd
REVERSED;rev
RIGHT;r
RING;ring
ROUND;round
SECTION;sect
SEMICOLON;scolon
SEPARATOR;sep
SHORT;short
SIGN;sign
SLASH;slash
SPACE;sp
SQUARE;sq
STAR;star
STROKE;stroke
SUBSCRIPT;sub
SUPERSCRIPT;sup
SURROGATE;sur
THIN;thin
TILDE;tilde
TRIPLE;tple
TURNED;turn
VERTICAL;vert
VERTICALLY;vert
WAVE;wave
UNDERSCORE;uline
ZEROWIDTH;zw
